"name";"address";"zipcode";"city";"latitude";"longitude"
"Juniper Barber";"2527 Benson";"07299";"Elizabeth";"40.670697";"-74.276405"
"Kayleigh Zimmerman";"1832 Perry";"29400 ";"Charleston";"32.856014";"-79.979157"
"Ace Hunter";"8144 Frontenac";"85341";"Surprise";"33.66035";"-112.438754"
"Ahmed Gould";"2378 Stevenson State St";"66072";"Kansas City";"39.150975";"-94.487132"
"Sadie Perez";"8978 Leader";"92642";"Irvine";"33.733353";"-117.727865"
"Philip Dixon";"1181 Lothair";"14205";"Buffalo";"42.971216";"-78.980835"
"Kolby Wallace";"37 Kennedy Central Av";"33406";"Tampa";"27.986917";"-82.476893"
"Quinton Duncan";"9876 Palmer";"71168";"Shreveport";"32.509418";"-93.709696"
"Roderick Roach";"3328 Grenshaw";"94091";"San Francisco";"37.898794";"-122.475346"
"Caitlin Hoover";"9255 Weed";"46560 ";"Fort Wayne";"41.037236";"-85.171634"
"Lyric Michael";"6688 Ada";"79276";"Lubbock";"33.521689";"-101.916338"
"Mattie Casey";"9719 14th";"36631";"Mobile";"30.702902";"-88.196466"
"Emely Mckenzie";"4793 Beacon";"66677";"Topeka";"39.005608";"-95.787525"
"Bree Rhodes";"2108 Eggleston";"30940";"Atlanta";"33.773392";"-84.333688"
"Lamar Santana";"4249 Holly";"99286";"Spokane";"47.697896";"-117.434482"
"Daniel Bowman";"6664 Stevenson Ib Lsd Sb";"84024";"West Valley City";"40.624444";"-112.014353"
"Jacoby Oliver";"1384 Davol";"48145";"Ann Arbor";"42.218698";"-83.701003"
"Curtis Delaney";"1098 Blackhawk";"72789";"Fayetteville";"35.002939";"-78.892096"
"Dillon Carroll";"8800 Marketplace Access";"33014";"Hialeah";"25.887839";"-80.274386"
"Roland Glenn";"149 South Water Ramp Lower";"23569";"Norfolk";"36.838738";"-76.284982"
"Lucy Hester";"921 Northcott";"33723";"St. Petersburg";"27.817605";"-82.493768"
"Briella Kelley";"3427 Montana";"03105";"Manchester";"42.966855";"-71.337662"
"Jada Landry";"870 Washburne";"70916";"Baton Rouge";"30.473408";"-91.233059"
"Remy Calhoun";"3714 Shapland";"06169";"Hartford";"41.735852";"-72.702488"
"Brayan Meyers";"4874 Walden";"60791";"Chicago";"41.804995";"-87.540685"
"Leighton Rhodes";"7233 Hermosa";"31975";"Columbus";"32.524687";"-85.098522"
"Helena Stephens";"8136 Eisenhower Racine Av";"84067";"West Valley City";"40.727714";"-112.010787"
"Mae Richard";"8101 Chappel";"97142";"Portland";"45.533855";"-122.674511"
"Jayce Albert";"6265 Germania";"61185";"Rockford";"42.161685";"-89.071687"
